Name,Platform,Global_Sales_Millions,EU_Sales_Millions,NA_Sales_Millions,Publisher,Release_Season,Original_Index,Steam_App_ID
Carmageddon 64,N64,0.01,0.0,0.01,Virgin Interactive,Fall,16698,
Yamaha Supercross,Wii,0.07,0.01,0.05,Zoo Digital Publishing,Fall,12086,
Taz Wanted,XB,0.07,0.02,0.05,Atari,Fall,12008,
XCOM: Enemy Unknown,X360,0.62,0.21,0.36,Take-Two Interactive,Fall,3220,
Virtua Cop,SAT,0.62,0.0,0.0,Sega,Fall,3222,
Metal Gear Solid 2: Substance,XB,0.62,0.22,0.38,Konami Digital Entertainment,Fall,3223,
Mafia III,XOne,0.62,0.29,0.28,Take-Two Interactive,Fall,3250,
Half-Life 2,XB,0.61,0.21,0.37,Electronic Arts,Fall,3298,
Commandos 2: Men of Courage,XB,0.07,0.02,0.05,Eidos Interactive,Fall,11865,
Assassin's Creed: Brotherhood,PC,0.59,0.34,0.15,Ubisoft,Fall,3404,
Utawarerumono: Itsuwari no Kamen,PSV,0.07,0.0,0.0,Aqua Plus,Fall,11828,
Myst,PS,0.07,0.0,0.0,Psygnosis,Fall,11769,
Sega Rally Revo,PS3,0.63,0.42,0.07,Sega,Fall,3202,
Q*bert,2600,0.58,0.03,0.55,Parker Bros.,Fall,3433,
Call of Duty: Black Ops,DS,0.58,0.04,0.5,Activision,Fall,3439,
Sonic & All-Stars Racing Transformed,X360,0.58,0.33,0.2,Sega,Fall,3442,
FIFA: Road to  World Cup 98,N64,0.58,0.39,0.15,Electronic Arts,Fall,3456,
Tony Hawk's Pro Skater 4,GC,0.58,0.12,0.45,Activision,Fall,3477,
Conflict: Desert Storm,GC,0.08,0.02,0.06,SCi,Fall,11729,
The Wolf Among Us,XOne,0.08,0.02,0.05,Telltale Games,Fall,11718,
Tony Hawk's Pro Skater 4,GBA,0.57,0.15,0.41,Activision,Fall,3492,
XCOM: Enemy Unknown,PS3,0.57,0.23,0.24,Take-Two Interactive,Fall,3499,
Ro-Kyu-Bu!,PSP,0.08,0.0,0.0,Kadokawa Shoten,Fall,11690,
Titanfall 2,XOne,0.57,0.15,0.37,Electronic Arts,Fall,3508,
Pro Evolution Soccer 2012,PSP,0.57,0.11,0.1,Konami Digital Entertainment,Fall,3534,
Rayman Origins,PC,0.08,0.06,0.0,Ubisoft,Fall,11746,
Far Cry 4,PC,0.63,0.44,0.15,Ubisoft,Fall,3186,
FIFA Soccer 2003,XB,0.63,0.4,0.2,Electronic Arts,Fall,3183,
NBA Live 08,PS3,0.63,0.02,0.56,Electronic Arts,Fall,3181,
Oddworld: Munch's Oddysee,XB,0.73,0.16,0.54,Atari,Fall,2803,
IL-2 Sturmovik: Birds of Prey,DS,0.06,0.0,0.06,505 Games,Fall,12295,
NBA Live 08,PS2,0.72,0.02,0.59,Electronic Arts,Fall,2830,
XCOM: Enemy Unknown,PC,0.71,0.36,0.27,Take-Two Interactive,Fall,2865,
The Sims 2: Castaway,DS,0.71,0.04,0.62,Electronic Arts,Fall,2870,
Kill.Switch,PS2,0.7,0.27,0.34,Sony Computer Entertainment,Fall,2906,
The Final Round,PS,0.07,0.03,0.04,Konami Digital Entertainment,Fall,12216,
TimeSplitters 2,PS2,0.7,0.27,0.34,Eidos Interactive,Fall,2928,
Halo 2 Multiplayer Map Pack,XB,0.69,0.13,0.54,Microsoft Game Studios,Fall,2941,
Need for Speed Rivals,XOne,0.69,0.17,0.46,Electronic Arts,Fall,2956,
IL-2 Sturmovik: Birds of Prey,PS3,0.68,0.25,0.34,505 Games,Fall,2968,
Xbox Live Arcade Unplugged Volume 1,X360,0.07,0.01,0.05,Microsoft Game Studios,Fall,12159,
Castlevania: Lords of Shadow,X360,0.66,0.17,0.42,Konami Digital Entertainment,Fall,3051,
Fable: The Lost Chapters,PC,0.07,0.05,0.01,Microsoft Game Studios,Fall,12093,
LEGO Harry Potter: Years 5-7,DS,0.66,0.25,0.34,Warner Bros. Interactive Entertainment,Fall,3081,
Borderlands 2,PSV,0.64,0.16,0.32,Take-Two Interactive,Fall,3127,
Assassin's Creed IV: Black Flag,PC,0.64,0.38,0.22,Ubisoft,Fall,3130,
Max Payne 2: The Fall of Max Payne,XB,0.64,0.15,0.47,Take-Two Interactive,Fall,3135,
Metal Gear Solid V: The Phantom Pain,PS3,0.64,0.13,0.22,Konami Digital Entertainment,Fall,3136,
NBA Live 06,XB,0.64,0.04,0.57,Electronic Arts,Fall,3144,
Rayman 2: The Great Escape,N64,0.64,0.22,0.4,Ubisoft,Fall,3147,
Rayman 3D,3DS,0.64,0.35,0.23,Ubisoft,Fall,3149,
TimeSplitters 2,XB,0.64,0.33,0.29,Eidos Interactive,Fall,3152,
Dishonored 2,PS4,0.64,0.32,0.22,Bethesda Softworks,Fall,3157,
X-Men Legends II: Rise of Apocalypse,PS2,0.63,0.02,0.53,Activision,Fall,3171,
Resident Evil 3: Nemesis,GC,0.08,0.02,0.06,Capcom,Fall,11675,
Cabela's Trophy Bucks,Wii,0.06,0.0,0.06,Activision Value,Fall,12308,
True Crime: Streets of LA,GC,0.56,0.11,0.44,Activision,Fall,3551,
Metal Gear Solid V: The Phantom Pain,PC,0.08,0.07,0.0,Konami Digital Entertainment,Fall,11659,
Tony Hawk's Pro Skater 3,N64,0.08,0.02,0.06,Activision,Fall,11499,
Bully: Scholarship Edition,Wii,0.5,0.28,0.17,Take-Two Interactive,Fall,3943,
Pro Evolution Soccer 2012,X360,0.5,0.34,0.1,Konami Digital Entertainment,Fall,3961,
Rayman Advance,GBA,0.5,0.13,0.36,Ubisoft,Fall,3994,
Cars Mater-National Championship,Wii,0.49,0.0,0.46,THQ,Fall,4011,
Middle-Earth: Shadow of Mordor,X360,0.49,0.16,0.28,Warner Bros. Interactive Entertainment,Fall,4049,
Sonic & All-Stars Racing Transformed,PS3,0.49,0.3,0.08,Sega,Fall,4054,
FIFA Soccer 2003,GC,0.08,0.02,0.06,Electronic Arts,Fall,11458,
Titanfall 2,PC,0.08,0.04,0.03,Electronic Arts,Fall,11451,
Rock Band 4,XOne,0.47,0.04,0.38,Harmonix Music Systems,Fall,4141,
Gauntlet Legends,PS,0.47,0.18,0.26,Midway Games,Fall,4142,
My Word Coach,Wii,0.51,0.01,0.46,Ubisoft,Fall,3932,
WipEout,PS,0.47,0.18,0.26,Psygnosis,Fall,4144,
Kong: The 8th Wonder of the World,GBA,0.47,0.12,0.33,Ubisoft,Fall,4199,
FIFA Soccer 2005,GBA,0.08,0.02,0.06,Electronic Arts,Fall,11416,
Get Fit with Mel B,Wii,0.08,0.04,0.03,Black Bean Games,Fall,11397,
Lego Batman 3: Beyond Gotham,3DS,0.45,0.2,0.21,Warner Bros. Interactive Entertainment,Fall,4306,
Star Wars Jedi Knight: Jedi Academy,XB,0.45,0.1,0.34,Activision,Fall,4308,
Pro Evolution Soccer 2013,PC,0.08,0.07,0.0,Konami Digital Entertainment,Fall,11391,
Lego Batman 3: Beyond Gotham,WiiU,0.45,0.21,0.21,Warner Bros. Interactive Entertainment,Fall,4331,
Sega Rally Revo,X360,0.45,0.28,0.12,Sega,Fall,4342,
Miami Nights: Singles in the City,DS,0.08,0.0,0.08,Ubisoft,Fall,11379,
X-Men Legends II: Rise of Apocalypse,XB,0.44,0.12,0.3,Activision,Fall,4389,
TimeSplitters 2,GC,0.44,0.09,0.34,Eidos Interactive,Fall,4443,
Need for Speed Carbon,XB,0.47,0.1,0.35,Electronic Arts,Fall,4175,
Dishonored,PC,0.51,0.19,0.26,Bethesda Softworks,Fall,3919,
Dragon Age: Origins,PC,0.51,0.46,0.0,Electronic Arts,Fall,3915,
Pro Evolution Soccer 2010,Wii,0.51,0.27,0.12,Konami Digital Entertainment,Fall,3911,
Fatal Fury Special,SNES,0.56,0.0,0.0,Takara,Fall,3601,
Middle-Earth: Shadow of Mordor,PS3,0.56,0.26,0.2,Warner Bros. Interactive Entertainment,Fall,3609,
Metal Gear Solid 3: Subsistence,PS2,0.55,0.01,0.34,Konami Digital Entertainment,Fall,3623,
Tony Hawk's Pro Skater 3,XB,0.55,0.18,0.34,Activision,Fall,3642,
Rayman Origins,Wii,0.55,0.27,0.21,Ubisoft,Fall,3649,
Turok: Evolution,XB,0.55,0.14,0.39,Acclaim Entertainment,Fall,3667,
Resident Evil Zero,XOne,0.08,0.02,0.05,Capcom,Fall,11627,
FIFA Soccer 07,XB,0.54,0.35,0.16,Electronic Arts,Fall,3686,
Rayman Origins,PSV,0.54,0.33,0.12,Ubisoft,Fall,3696,
Gauntlet Legends,N64,0.54,0.1,0.43,Midway Games,Fall,3707,
World Series of Poker 2008: Battle for the Bracelets,X360,0.08,0.01,0.06,Activision,Fall,11614,
Taz Wanted,GC,0.08,0.02,0.06,Atari,Fall,11587,
Peter Jackson's King Kong: The Official Game of the Movie,XB,0.53,0.17,0.34,Ubisoft,Fall,3775,
Batman: Arkham City,PC,0.53,0.28,0.16,Warner Bros. Interactive Entertainment,Fall,3803,
Assassin's Creed: Rogue,PC,0.08,0.02,0.05,Ubisoft,Fall,11586,
Michael Jackson: The Experience,PS3,0.52,0.19,0.25,Ubisoft,Fall,3818,
Resident Evil 6,PS4,0.08,0.0,0.06,Capcom,Fall,11584,
Metal Gear Solid 2: Substance,PS2,0.52,0.14,0.18,Konami Digital Entertainment,Fall,3830,
NBA Live 08,X360,0.52,0.0,0.47,Electronic Arts,Fall,3832,
Get Fit with Mel B,X360,0.08,0.06,0.0,Black Bean Games,Fall,11551,
Tony Hawk's Pro Skater 3,GBA,0.52,0.14,0.37,Activision,Fall,3864,
Sonic & All-Stars Racing Transformed,WiiU,0.51,0.26,0.19,Sega,Fall,3879,
EyeCreate,PS3,0.08,0.07,0.0,Sony Computer Entertainment,Fall,11505,
IL-2 Sturmovik: Birds of Prey,X360,0.51,0.23,0.23,505 Games,Fall,3897,
Alien: Isolation,XOne,0.51,0.24,0.22,Sega,Fall,3909,
Cabela's Big Game Hunter 2005 Adventures,PS2,0.56,0.21,0.28,Activision,Fall,3570,
Mortal Kombat 4,N64,0.73,0.17,0.55,GT Interactive,Fall,2797,
FIFA: Road to World Cup 98,PS,0.73,0.09,0.14,Electronic Arts,Fall,2788,
XGRA: Extreme G Racing Association,PS2,0.06,0.02,0.03,Acclaim Entertainment,Fall,12324,
Venetica,PC,0.05,0.04,0.0,DTP Entertainment,Fall,13062,
The Simpsons Game,X360,1.03,0.39,0.54,Electronic Arts,Fall,1999,
Sonic Unleashed,PS3,1.02,0.32,0.56,Sega,Fall,2026,
