Name,Genre,Platform,Release_Season,NA_Sales_Millions,EU_Sales_Millions,Global_Sales_Millions,Developer,Original_Index,User_Score,Rating,Publisher,Steam_App_ID,Price,Year_of_Release
Nintendogs,Simulation,DS,Spring,9.05,10.95,24.67,Catstudio,10,,,Nintendo,-1.0,,2005.0
Wii Fit,Sports,Wii,Winter,8.92,8.03,22.7,Nintendo,13,7.7,E,Nintendo,-1.0,,2007.0
Wii Fit Plus,Sports,Wii,Winter,9.01,8.49,21.79,Nintendo,15,7.4,E,Nintendo,-1.0,,2009.0
Grand Theft Auto V,Action,PS3,Fall,7.02,9.09,21.04,Rockstar North,16,8.2,M,Take-Two Interactive,-1.0,$29.99,2013.0
Grand Theft Auto: San Andreas,Action,PS2,Fall,9.43,0.4,20.81,Rockstar North,17,9,M,Take-Two Interactive,-1.0,$23.99,2004.0
Grand Theft Auto: San Andreas,Platform,SNES,Summer,12.78,3.75,20.61,,18,,,Nintendo,12120.0,$23.99,1990.0
Grand Theft Auto V,Action,X360,Fall,9.66,5.14,16.27,Rockstar North,23,8.1,M,Take-Two Interactive,-1.0,$29.99,2013.0
Grand Theft Auto: Vice City,Action,PS2,Fall,8.41,5.49,16.15,Rockstar North,24,8.7,M,Take-Two Interactive,-1.0,$23.99,2002.0
Grand Theft Auto: Vice City,Role-Playing,GBA,Spring,6.06,3.9,15.85,,25,,,Nintendo,12110.0,$23.99,2002.0
Call of Duty: Black Ops,Shooter,X360,Fall,9.7,3.68,14.61,Treyarch,32,6.3,M,Activision,-1.0,$39.99,2010.0
Call of Duty: Black Ops,Role-Playing,3DS,Fall,5.28,4.19,14.6,,33,,,Nintendo,42700.0,$39.99,2013.0
Call of Duty: Black Ops II,Shooter,X360,Fall,8.25,4.24,13.67,Treyarch,35,4.8,M,Activision,202970.0,$59.99,2012.0
Grand Theft Auto III,Action,PS2,Fall,6.99,4.51,13.1,DMA Design,38,8.5,M,Take-Two Interactive,-1.0,$23.99,2001.0
Grand Theft Auto III,Fighting,Wii,Spring,6.62,2.55,12.84,Game Arts,39,8.9,T,Nintendo,12100.0,$23.99,2008.0
Call of Duty: Black Ops,Shooter,PS3,Fall,5.99,4.37,12.63,Treyarch,41,6.4,M,Activision,-1.0,$39.99,2010.0
Call of Duty: Ghosts,Misc,Wii,Spring,5.95,3.11,10.12,Ubisoft,61,7.8,E10+,Ubisoft,209160.0,$59.99,2011.0
Halo: Reach,Shooter,X360,Fall,7.04,1.95,9.86,Bungie,64,7.9,M,Microsoft Game Studios,-1.0,,2010.0
Final Fantasy VII,Role-Playing,PS,Winter,3.01,2.47,9.72,SquareSoft,65,9.2,T,Sony Computer Entertainment,-1.0,$4.79,1997.0
Halo 4,Shooter,X360,Fall,6.65,2.28,9.71,343 Industries,66,7,M,Microsoft Game Studios,39140.0,$19.99,2012.0
Donkey Kong Country,Platform,SNES,Fall,4.36,1.71,9.3,Playtonic Games,71,,,Nintendo,-1.0,,1994.0
The Elder Scrolls V: Skyrim,Role-Playing,X360,Fall,5.05,2.79,8.79,Bethesda Game Studios,75,8.4,M,Bethesda Softworks,-1.0,$49.95,2011.0
The Elder Scrolls V: Skyrim,Racing,SNES,Fall,3.54,1.24,8.76,,76,,,Nintendo,72850.0,$49.95,1992.0
Halo 2,Shooter,XB,Fall,6.82,1.53,8.49,Bungie Software,78,8.2,M,Microsoft Game Studios,-1.0,$9.95,2004.0
The Sims 3,Simulation,PC,Summer,0.99,6.42,8.01,The Sims Studio,85,7.6,T,Electronic Arts,-1.0,$19.99,2009.0
Mario & Sonic at the Olympic Games,Sports,Wii,Fall,2.57,3.86,7.99,"FRENCH-BREAD, TYPE-MOON, Lasengle Inc., TAMSOFT CORPORATION, GameLoop Inc.",86,,,Sega,47890.0,$29.99,2007.0
Final Fantasy VIII,Role-Playing,PS,Winter,2.28,1.72,7.86,SquareSoft,88,8.6,T,SquareSoft,-1.0,$4.79,1999.0
Grand Theft Auto: Liberty City Stories,Action,PSP,Fall,2.9,2.81,7.69,Rockstar Leeds,91,7.6,M,Take-Two Interactive,-1.0,,2005.0
The Legend of Zelda: Ocarina of Time,Action,N64,Fall,4.1,1.89,7.6,Geod Studio,93,,,Nintendo,-1.0,,1998.0
Super Mario Bros. 2,Platform,NES,Fall,5.39,1.18,7.46,Kunos Simulazioni,98,,,Nintendo,-1.0,,1988.0
Call of Duty: World at War,Shooter,X360,Fall,4.46,2.11,7.32,EA DICE,101,7.4,M,Electronic Arts,10090.0,$19.99,2011.0
Need for Speed Underground,Racing,PS2,Fall,3.27,2.83,7.2,EA Black Box,102,8.6,E,Electronic Arts,1238820.0,,2003.0
Fallout 4,Fighting,PS,Fall,3.27,2.22,7.16,Namco,106,9.1,T,Sony Computer Entertainment,377160.0,$16.95,1998.0
Medal of Honor: Frontline,Shooter,PS2,Spring,2.93,2.75,6.83,EA LA,114,8.5,T,Electronic Arts,-1.0,,2002.0
Gears of War 2,Shooter,X360,Fall,4.15,1.9,6.75,Epic Games,117,7.7,M,Microsoft Game Studios,-1.0,,2008.0
Call of Duty 4: Modern Warfare,Shooter,PS3,Fall,3.11,2.26,6.68,Infinity Ward,120,8.4,M,Activision,-1.0,$19.99,2007.0
FIFA 14,Sports,PS3,Fall,0.78,4.24,6.47,EA Canada,126,4.3,E,Electronic Arts,-1.0,,2013.0
Assassin's Creed III,Action,PS3,Fall,2.64,2.52,6.45,Ubisoft,127,6.9,M,Ubisoft,-1.0,$7.04,2012.0
