Name,Steam_App_ID,Position,Release_Date,Release_Season,Platform,Genre,Publisher,NA_Sales,EU_Sales,Global_Sales,User_Count,Developer,steam_price_usd,metacritic_score,total_recommendations
Grand Theft Auto: San Andreas,12120.0,18,2005-06-06,Summer,SNES,Platform,Nintendo,12.78,3.75,20.61,,,,93,69735
Grand Theft Auto: Vice City,12110.0,25,2003-05-13,Spring,GBA,Role-Playing,Nintendo,6.06,3.9,15.85,,,,94,23888
Call of Duty: Black Ops,42700.0,33,2010-11-09,Fall,3DS,Role-Playing,Nintendo,5.28,4.19,14.6,,,39.99,81,19757
Call of Duty: Black Ops II,202970.0,35,2012-11-12,Fall,X360,Shooter,Activision,8.25,4.24,13.67,2256.0,Treyarch,59.99,74,20782
Call of Duty: Black Ops II,202970.0,36,2012-11-12,Fall,X360,Shooter,Activision,8.52,3.59,13.47,2698.0,Infinity Ward,59.99,74,20782
Grand Theft Auto III,12100.0,39,2002-05-21,Spring,Wii,Fighting,Nintendo,6.62,2.55,12.84,1662.0,Game Arts,,93,10957
Call of Duty: Black Ops,42700.0,42,2010-11-09,Fall,PS4,Action,Take-Two Interactive,3.96,6.31,12.61,2899.0,Rockstar North,39.99,81,19757
Call of Duty: Ghosts,209160.0,61,2014-03-25,Spring,Wii,Misc,Ubisoft,5.95,3.11,10.12,16.0,Ubisoft,59.99,68,11710
Final Fantasy VII,39140.0,66,2013-07-04,Summer,X360,Shooter,Microsoft Game Studios,6.65,2.28,9.71,3260.0,343 Industries,4.79,,23780
Call of Duty: Ghosts,209160.0,70,2014-03-25,Spring,X360,Shooter,Activision,5.93,2.36,9.31,1320.0,Infinity Ward,59.99,68,11710
The Elder Scrolls V: Skyrim,72850.0,76,2011-11-10,Fall,SNES,Racing,Nintendo,3.54,1.24,8.76,,,19.99,94,181096
The Sims 3,47890.0,86,2009-06-02,Summer,Wii,Sports,Sega,2.57,3.86,7.99,,,19.99,86,29443
