Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,Global_Sales,User_Count,Developer,Original_Index,Release_Season
Nintendogs,DS,2005.0,Simulation,Nintendo,9.05,10.95,24.67,,,10,Spring
Wii Fit,Wii,2007.0,Sports,Nintendo,8.92,8.03,22.7,146.0,Nintendo,13,Winter
Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.01,8.49,21.79,52.0,Nintendo,15,Winter
Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.02,9.09,21.04,3994.0,Rockstar North,16,Fall
Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,20.81,1588.0,Rockstar North,17,Fall
Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,9.66,5.14,16.27,3711.0,Rockstar North,23,Fall
Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,16.15,730.0,Rockstar North,24,Fall
Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.7,3.68,14.61,1454.0,Treyarch,32,Fall
Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,13.1,664.0,DMA Design,38,Fall
Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.99,4.37,12.63,1094.0,Treyarch,41,Fall
Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,3.96,6.31,12.61,2899.0,Rockstar North,42,Fall
Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,7.04,1.95,9.86,2045.0,Bungie,64,Fall
Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,9.72,1282.0,SquareSoft,65,Winter
Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,6.65,2.28,9.71,3260.0,343 Industries,66,Fall
Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5.93,2.36,9.31,1320.0,Infinity Ward,70,Fall
Donkey Kong Country,SNES,1994.0,Platform,Nintendo,4.36,1.71,9.3,,,71,Fall
The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.05,2.79,8.79,3589.0,Bethesda Game Studios,75,Fall
Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,6.82,1.53,8.49,1218.0,Bungie Software,78,Fall
The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.99,6.42,8.01,886.0,The Sims Studio,85,Summer
Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,2.57,3.86,7.99,,,86,Fall
Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,2.28,1.72,7.86,644.0,SquareSoft,88,Winter
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,2.9,2.81,7.69,451.0,Rockstar Leeds,91,Fall
The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,4.1,1.89,7.6,,,93,Fall
Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,5.39,1.18,7.46,,,98,Fall
Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,3.27,2.83,7.2,171.0,EA Black Box,102,Fall
