Name,Platform,Global_Sales_Millions,EU_Sales_Millions,NA_Sales_Millions,Publisher,Release_Season,Original_Index,Steam_App_ID
Nintendogs,DS,24.67,10.95,9.05,Nintendo,Spring,10,
Wii Fit,Wii,22.7,8.03,8.92,Nintendo,Winter,13,
Wii Fit Plus,Wii,21.79,8.49,9.01,Nintendo,Winter,15,
Grand Theft Auto V,PS3,21.04,9.09,7.02,Take-Two Interactive,Fall,16,
Grand Theft Auto: San Andreas,PS2,20.81,0.4,9.43,Take-Two Interactive,Fall,17,
Grand Theft Auto: San Andreas,SNES,20.61,3.75,12.78,Nintendo,Summer,18,12120.0
Grand Theft Auto V,X360,16.27,5.14,9.66,Take-Two Interactive,Fall,23,
Grand Theft Auto: Vice City,PS2,16.15,5.49,8.41,Take-Two Interactive,Fall,24,
Grand Theft Auto: Vice City,GBA,15.85,3.9,6.06,Nintendo,Spring,25,12110.0
Call of Duty: Black Ops,X360,14.61,3.68,9.7,Activision,Fall,32,
Call of Duty: Black Ops,3DS,14.6,4.19,5.28,Nintendo,Fall,33,42700.0
Call of Duty: Black Ops II,X360,13.67,4.24,8.25,Activision,Fall,35,202970.0
Call of Duty: Black Ops II,X360,13.47,3.59,8.52,Activision,Fall,36,202970.0
Grand Theft Auto III,PS2,13.1,4.51,6.99,Take-Two Interactive,Fall,38,
Grand Theft Auto III,Wii,12.84,2.55,6.62,Nintendo,Spring,39,12100.0
Call of Duty: Black Ops,PS3,12.63,4.37,5.99,Activision,Fall,41,
Grand Theft Auto V,PS4,12.61,6.31,3.96,Take-Two Interactive,Fall,42,42700.0
Call of Duty: Ghosts,Wii,10.12,3.11,5.95,Ubisoft,Spring,61,209160.0
Halo: Reach,X360,9.86,1.95,7.04,Microsoft Game Studios,Fall,64,
Final Fantasy VII,PS,9.72,2.47,3.01,Sony Computer Entertainment,Winter,65,
Halo 4,X360,9.71,2.28,6.65,Microsoft Game Studios,Fall,66,39140.0
Call of Duty 4: Modern Warfare,X360,9.31,2.36,5.93,Activision,Fall,70,209160.0
Donkey Kong Country,SNES,9.3,1.71,4.36,Nintendo,Fall,71,
The Elder Scrolls V: Skyrim,X360,8.79,2.79,5.05,Bethesda Softworks,Fall,75,
The Elder Scrolls V: Skyrim,SNES,8.76,1.24,3.54,Nintendo,Fall,76,72850.0
Halo 2,XB,8.49,1.53,6.82,Microsoft Game Studios,Fall,78,
The Sims 3,PC,8.01,6.42,0.99,Electronic Arts,Summer,85,
Mario & Sonic at the Olympic Games,Wii,7.99,3.86,2.57,Sega,Fall,86,47890.0
Final Fantasy VIII,PS,7.86,1.72,2.28,SquareSoft,Winter,88,
Grand Theft Auto: Liberty City Stories,PSP,7.69,2.81,2.9,Take-Two Interactive,Fall,91,
The Legend of Zelda: Ocarina of Time,N64,7.6,1.89,4.1,Nintendo,Fall,93,
Super Mario Bros. 2,NES,7.46,1.18,5.39,Nintendo,Fall,98,
Call of Duty: World at War,X360,7.32,2.11,4.46,Electronic Arts,Fall,101,10090.0
Need for Speed Underground,PS2,7.2,2.83,3.27,Electronic Arts,Fall,102,1238820.0
Fallout 4,PS4,7.16,3.27,2.53,Bethesda Softworks,Fall,105,1238820.0
Fallout 4,PS,7.16,2.22,3.27,Sony Computer Entertainment,Fall,106,377160.0
Medal of Honor: Frontline,PS2,6.83,2.75,2.93,Electronic Arts,Spring,114,
Gears of War 2,X360,6.75,1.9,4.15,Microsoft Game Studios,Fall,117,
Call of Duty 4: Modern Warfare,PS3,6.68,2.26,3.11,Activision,Fall,120,
FIFA 14,PS3,6.47,4.24,0.78,Electronic Arts,Fall,126,
Assassin's Creed III,PS3,6.45,2.52,2.64,Ubisoft,Fall,127,
Halo: Combat Evolved,XB,6.43,1.3,4.98,Microsoft Game Studios,Fall,129,
The Elder Scrolls V: Skyrim,PS3,6.41,2.6,2.55,Bethesda Softworks,Fall,130,
The Elder Scrolls V: Skyrim,GBA,6.41,1.58,2.57,Nintendo,Fall,131,72850.0
Halo 3: ODST,X360,6.34,1.34,4.34,Microsoft Game Studios,Fall,134,
Street Fighter II: The World Warrior,SNES,6.3,0.83,2.47,Capcom,Spring,137,
Gears of War 3,X360,6.21,1.59,4.05,Microsoft Game Studios,Fall,140,
Metal Gear Solid 2: Sons of Liberty,PS2,6.05,2.01,2.45,Konami Digital Entertainment,Fall,144,
Sonic the Hedgehog 2,GEN,6.03,1.2,4.47,Sega,Fall,145,
Metal Gear Solid 4: Guns of the Patriots,PS3,5.99,1.71,2.63,Konami Digital Entertainment,Summer,147,
Final Fantasy XII,PS2,5.95,0.0,1.88,Square Enix,Spring,148,
Resident Evil 2,PS,5.82,1.47,1.88,Virgin Interactive,Winter,151,
Resident Evil 2,DS,5.78,0.67,0.63,Nintendo,Winter,152,883710.0
LEGO Star Wars: The Complete Saga,Wii,5.64,1.55,3.57,LucasArts,Fall,155,
Batman: Arkham City,PS3,5.48,1.85,2.71,Warner Bros. Interactive Entertainment,Fall,164,
Grand Theft Auto V,XOne,5.48,2.19,2.81,Take-Two Interactive,Fall,165,
Call of Duty: World at War,PS4,5.38,2.5,1.85,Sony Computer Entertainment,Fall,171,10090.0
Dr. Mario,GB,5.34,0.96,2.18,Nintendo,Summer,172,
Final Fantasy IX,PS,5.3,0.77,1.62,SquareSoft,Summer,175,
Assassin's Creed III,X360,5.29,1.69,3.13,Ubisoft,Fall,176,
Madden NFL 2004,PS2,5.23,0.26,4.26,Electronic Arts,Summer,183,
Dragon Quest VIII: Journey of the Cursed King,PS2,5.21,0.75,0.65,Square Enix,Fall,186,
Donkey Kong Country 2: Diddy's Kong Quest,SNES,5.15,0.74,2.1,Nintendo,Fall,191,
Mario & Sonic at the Olympic Games,DS,5.09,2.45,1.63,Sega,Fall,198,
