Name,Steam_App_ID
Wii Sports,
Super Mario Bros.,
Mario Kart Wii,
Wii Sports Resort,
Pokemon Red/Pokemon Blue,
Tetris,
New Super Mario Bros.,
Wii Play,
New Super Mario Bros. Wii,
Duck Hunt,
Nintendogs,
Mario Kart DS,
Pokemon Gold/Pokemon Silver,
Wii Fit,
Kinect Adventures!,
Wii Fit Plus,
Grand Theft Auto V,
Grand Theft Auto: San Andreas,12120
Super Mario World,
Brain Age: Train Your Brain in Minutes a Day,
Pokemon Diamond/Pokemon Pearl,
Super Mario Land,
Super Mario Bros. 3,
Grand Theft Auto V,
Grand Theft Auto: Vice City,12110
Pokemon Ruby/Pokemon Sapphire,
Brain Age 2: More Training in Minutes a Day,
Pokemon Black/Pokemon White,
Gran Turismo 3: A-Spec,
Call of Duty: Modern Warfare 3,
Pokémon Yellow: Special Pikachu Edition,
Call of Duty: Black Ops 3,
Call of Duty: Black Ops,42700
Pokemon X/Pokemon Y,
Call of Duty: Black Ops II,202970
Call of Duty: Black Ops II,202970
Call of Duty: Modern Warfare 2,
Call of Duty: Modern Warfare 3,
Grand Theft Auto III,12100
Super Smash Bros. Brawl,
Mario Kart 7,
Call of Duty: Black Ops,42700
Grand Theft Auto V,
Animal Crossing: Wild World,
Halo 3,
Super Mario 64,
Pokemon HeartGold/Pokemon SoulSilver,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,
Gran Turismo 4,
Super Mario Galaxy,
Super Mario Land 2: 6 Golden Coins,
Grand Theft Auto IV,
Gran Turismo,
Super Mario 3D Land,
Gran Turismo 5,
Call of Duty: Modern Warfare 2,
Super Mario All-Stars,
Grand Theft Auto IV,
Pokemon FireRed/Pokemon LeafGreen,
Super Mario 64,
Call of Duty: Ghosts,209160
Just Dance 3,
New Super Mario Bros. 2,
Mario Kart 64,
Halo: Reach,
Final Fantasy VII,39140
Halo 4,
Gran Turismo 2,
Just Dance 2,
Call of Duty: Ghosts,209160
Call of Duty 4: Modern Warfare,
Donkey Kong Country,
Minecraft,
Animal Crossing: New Leaf,
Mario Party DS,
The Elder Scrolls V: Skyrim,72850
Super Mario Kart,
FIFA 16,
Halo 2,
Wii Party,
Mario Party 8,
FIFA Soccer 13,
GoldenEye 007,
Pokemon Black 2/Pokemon White 2,
Final Fantasy X,
The Sims 3,47890
Mario & Sonic at the Olympic Games,
Star Wars Battlefront (2015),
Final Fantasy VIII,
Pac-Man,
Pokémon Platinum Version,
Grand Theft Auto: Liberty City Stories,
Call of Duty: Advanced Warfare,
The Legend of Zelda: Ocarina of Time,
FIFA 17,
Crash Bandicoot 2: Cortex Strikes Back,
Super Smash Bros. for Wii U and 3DS,
Super Mario Galaxy 2,
Super Mario Bros. 2,
Call of Duty: Black Ops 3,
Call of Duty: World at War,10090
Battlefield 3,1238820
Need for Speed Underground,
Just Dance,
Battlefield 3,1238820
Fallout 4,377160
Tekken 3,
The Legend of Zelda: Twilight Princess,
Pokemon Sun/Moon,
Crash Bandicoot 3: Warped,
Mario Kart 8,
Super Smash Bros. Melee,
Mario Kart: Double Dash!!,
Need for Speed Underground 2,
Medal of Honor: Frontline,
Crash Bandicoot,
Just Dance 4,
Gears of War 2,
Uncharted 3: Drake's Deception,
Zumba Fitness,
Call of Duty 4: Modern Warfare,
Uncharted 2: Among Thieves,
FIFA 12,
Big Brain Academy,
The Legend of Zelda,
Red Dead Redemption,
FIFA 14,
Assassin's Creed III,
Donkey Kong Country Returns,
Halo: Combat Evolved,
The Elder Scrolls V: Skyrim,72850
Pokémon Emerald Version,
Kingdom Hearts,
Pokémon Crystal Version,
Halo 3: ODST,
Red Dead Redemption,
Super Mario Sunshine,
Street Fighter II: The World Warrior,
World of Warcraft,
Driver,
Gears of War 3,
Kinect Sports,
Gears of War,
FIFA 15,
Metal Gear Solid 2: Sons of Liberty,
Sonic the Hedgehog 2,
Metal Gear Solid,
Metal Gear Solid 4: Guns of the Patriots,
Final Fantasy XII,
The Last of Us,
LittleBigPlanet,
Resident Evil 2,883710
Dragon Quest IX: Sentinels of the Starry Skies,
Tekken 2,
Destiny,
LEGO Star Wars: The Complete Saga,
Cooking Mama,
Tetris,
Super Smash Bros.,
Assassin's Creed II,
Assassin's Creed,
Forza Motorsport 3,
Super Mario Advance,
Monster Hunter Freedom Unite,
Batman: Arkham City,
Grand Theft Auto V,
Mario Kart: Super Circuit,
Super Mario World,
Pokemon Stadium,
Crash Bandicoot: The Wrath of Cortex,
Call of Duty: World at War,10090
Uncharted 4: A Thief's End,
Dr. Mario,
Final Fantasy XIII,
Pokemon Pinball,
Final Fantasy IX,
Assassin's Creed III,
Final Fantasy X-2,
Donkey Kong 64,
Call of Duty: Advanced Warfare,
Minecraft,
Assassin's Creed II,
Tomb Raider II,
Madden NFL 2004,
Tomodachi Life,
New Super Mario Bros. U,
Dragon Quest VIII: Journey of the Cursed King,
Super Mario Bros. 3,
Professor Layton and the Curious Village,
Super Mario Land 3: Wario Land,
FIFA Soccer 13,
Donkey Kong Country 2: Diddy's Kong Quest,
Diablo III,
Medal of Honor: Rising Sun,
Kirby's Dream Land,
Microsoft Flight Simulator,
Guitar Hero II,
Fable III,
Mario & Sonic at the Olympic Games,
Resident Evil 5,21690
The Legend of Zelda: Phantom Hourglass,
Super Mario Bros.,
FIFA Soccer 11,
Resident Evil,304240
Grand Theft Auto: Vice City Stories,
Tony Hawk's Pro Skater,
Warzone 2100,
Spyro the Dragon,
Guitar Hero III: Legends of Rock,
Link's Crossbow Training,
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,
Fallout 3,
Uncharted: Drake's Fortune,
Madden NFL 06,
Diddy Kong Racing,
Monster Hunter Freedom 3,
Super Smash Bros. for Wii U and 3DS,
Dr. Mario,
StarCraft II: Wings of Liberty,
Assassin's Creed,
