Name,Steam_App_ID,Position
Grand Theft Auto: San Andreas,12120.0,18
Grand Theft Auto: Vice City,12110.0,25
Call of Duty: Black Ops,42700.0,33
Call of Duty: Black Ops II,202970.0,35
Call of Duty: Black Ops II,202970.0,36
Grand Theft Auto III,12100.0,39
Call of Duty: Black Ops,42700.0,42
Call of Duty: Ghosts,209160.0,61
Final Fantasy VII,39140.0,66
Call of Duty: Ghosts,209160.0,70
The Elder Scrolls V: Skyrim,72850.0,76
The Sims 3,47890.0,86
Call of Duty: World at War,10090.0,101
Battlefield 3,1238820.0,102
Battlefield 3,1238820.0,105
Fallout 4,377160.0,106
The Elder Scrolls V: Skyrim,72850.0,131
Resident Evil 2,883710.0,152
Call of Duty: World at War,10090.0,171
Resident Evil 5,21690.0,200
Resident Evil,304240.0,204
Tomb Raider,203160.0,230
Call of Duty: Infinite Warfare,292730.0,246
God of War,1593500.0,247
Fallout 4,377160.0,271
Half-Life,70.0,285
Battlefield 1,1238840.0,290
Fallout: New Vegas,22380.0,293
Far Cry 4,298110.0,299
Left 4 Dead 2,550.0,303
The Witcher 3: Wild Hunt,292030.0,304
Batman: Arkham Knight,208650.0,306
The Elder Scrolls V: Skyrim,72850.0,314
Call of Duty: Ghosts,209160.0,324
Resident Evil 4,2050650.0,351
Battlefield 4,1238860.0,358
Left 4 Dead,500.0,372
Resident Evil 5,21690.0,376
Battlefield 4,1238860.0,379
Battlefield 4,1238860.0,381
Battlefield: Bad Company 2,24960.0,382
Metal Gear Solid V: The Phantom Pain,287700.0,391
Assassin's Creed Syndicate,368500.0,397
Far Cry 3,220240.0,402
Halo: The Master Chief Collection,976730.0,423
L.A. Noire,110800.0,434
Fallout: New Vegas,22380.0,446
Resident Evil 6,221040.0,450
The Sims 4,1222670.0,459
Borderlands 2,49520.0,460
Saints Row 2,9480.0,466
Far Cry 3,220240.0,472
Star Wars: The Old Republic,1286830.0,481
Middle-Earth: Shadow of Mordor,241930.0,482
Battlefield: Bad Company 2,24960.0,486
Call of Duty: Ghosts,209160.0,494
BioShock,7670.0,517
Medal of Honor,47830.0,523
Need for Speed: Hot Pursuit,47870.0,537
Battlefield 3,1238820.0,539
Mortal Kombat X,307780.0,540
Saints Row: The Third,55230.0,546
L.A. Noire,110800.0,557
Medal of Honor,47830.0,569
Medal of Honor,47830.0,587
Saints Row: The Third,55230.0,630
Call of Duty: Infinite Warfare,292730.0,641
Half-Life 2,220.0,666
Guild Wars 2,1284210.0,689
Batman: Arkham Origins,209000.0,693
The Sims 3,47890.0,702
Battlefield 1,1238840.0,710
Borderlands 2,49520.0,728
LEGO Marvel Super Heroes,249130.0,731
Resident Evil 4,2050650.0,733
Need for Speed: Hot Pursuit,47870.0,743
BioShock 2,8850.0,745
Hitman: Absolution,203140.0,769
Dying Light,239140.0,798
Portal 2,620.0,809
Call of Duty 2,2630.0,843
Battlefield 4,1238860.0,848
Resident Evil 6,221040.0,875
Grand Theft Auto: San Andreas,12120.0,876
The Sims 3,47890.0,885
Call of Duty: World at War,10090.0,888
BioShock Infinite,8870.0,891
Batman: Arkham Origins,209000.0,916
Just Cause 3,225540.0,939
Max Payne 3,204100.0,944
LEGO Marvel Super Heroes,249130.0,946
The Evil Within,268050.0,977
Just Cause 2,8190.0,1009
The Elder Scrolls Online,306130.0,1013
Hitman: Absolution,203140.0,1034
Dishonored,205100.0,1042
Portal 2,620.0,1053
No Man's Sky,275850.0,1057
BioShock Infinite,8870.0,1061
Resident Evil 4,2050650.0,1069
Saints Row 2,9480.0,1076
Sid Meier's Civilization V,8930.0,1079
Dark Souls III,374320.0,1108
Far Cry 4,298110.0,1126
Call of Duty: Black Ops,42700.0,1132
Max Payne 3,204100.0,1135
LEGO Marvel Super Heroes,249130.0,1140
Just Cause 2,8190.0,1156
Far Cry 2,19900.0,1162
Wolfenstein: The New Order,201810.0,1209
BioShock 2,8850.0,1212
Dishonored,205100.0,1225
Call of Duty: Black Ops II,202970.0,1228
Dead Space 2,47780.0,1244
Batman: Arkham Knight,208650.0,1275
Homefront,55100.0,1313
BioShock,7670.0,1348
Dead Space 2,47780.0,1357
Metal Gear Rising: Revengeance,235460.0,1359
The Sims 3,47890.0,1369
Far Cry 2,19900.0,1395
Ryse: Son of Rome,302510.0,1401
Mortal Kombat X,307780.0,1402
Rise of the Tomb Raider,391220.0,1404
Call of Duty: Black Ops,42700.0,1413
Middle-Earth: Shadow of Mordor,241930.0,1435
Battlefield 4,1238860.0,1438
Alan Wake,108710.0,1469
The Elder Scrolls V: Skyrim,72850.0,1476
The Witcher 3: Wild Hunt,292030.0,1500
Assassin's Creed Syndicate,368500.0,1516
Far Cry 4,298110.0,1518
Dying Light,239140.0,1530
Fallout 4,377160.0,1531
The Elder Scrolls Online,306130.0,1537
Metal Gear Solid V: Ground Zeroes,311340.0,1560
Oddworld: Abe's Oddysee,15700.0,1606
Bayonetta,460790.0,1669
Fallout: New Vegas,22380.0,1732
Spore,17390.0,1738
Mirror's Edge,17410.0,1745
Naruto Shippuden: Ultimate Ninja Storm 4,349040.0,1802
Mirror's Edge,17410.0,1811
Alien: Isolation,214490.0,1813
Counter-Strike,10.0,1837
Bully: Scholarship Edition,12200.0,1945
Darksiders,50620.0,1958
LEGO Marvel Super Heroes,249130.0,1960
Sleeping Dogs,202170.0,1988
Brink,22350.0,2002
Tomb Raider,203160.0,2015
Grand Theft Auto: San Andreas,12120.0,2116
Brutal Legend,225260.0,2119
Far Cry 3,220240.0,2137
Sniper Elite V2,63380.0,2153
Brutal Legend,225260.0,2201
Rise of the Tomb Raider,391220.0,2205
Bayonetta,460790.0,2226
Borderlands 2,49520.0,2239
South Park: The Stick of Truth,213670.0,2249
South Park: The Stick of Truth,213670.0,2250
Street Fighter V,310950.0,2291
Just Cause 3,225540.0,2292
Far Cry 4,298110.0,2298
Homefront,55100.0,2300
The Elder Scrolls Online,306130.0,2304
LEGO Marvel Super Heroes,249130.0,2314
Call of Duty: World at War,10090.0,2342
Sleeping Dogs,202170.0,2384
Kingdoms of Amalur: Reckoning,102500.0,2385
Kingdoms of Amalur: Reckoning,102500.0,2437
The Evil Within,268050.0,2466
Sniper Elite V2,63380.0,2471
DmC: Devil May Cry,220440.0,2588
Doom,379720.0,2619
The Sims 3,47890.0,2698
Portal 2,620.0,2704
Titanfall 2,1237970.0,2719
Metal Gear Solid V: The Phantom Pain,287700.0,2721
The Elder Scrolls V: Skyrim,72850.0,2769
LEGO Marvel Super Heroes,249130.0,2779
Brink,22350.0,2807
Borderlands: The Pre-Sequel,261640.0,2848
The Witcher 3: Wild Hunt,292030.0,2852
Battlefield: Bad Company 2,24960.0,2860
XCOM: Enemy Unknown,200510.0,2866
Crysis,17300.0,2869
Call of Duty: Ghosts,209160.0,2917
Mafia,40990.0,2924
Sniper Elite 3,238090.0,2981
Wolfenstein: The New Order,201810.0,2992
RIFT,39120.0,2998
The Evil Within,268050.0,3007
Terraria,105600.0,3015
The Sims 3,47890.0,3024
Command & Conquer: Red Alert 3,17480.0,3027
F1 2015,286570.0,3036
BioShock Infinite,8870.0,3068
Farming Simulator 17,447020.0,3124
Borderlands 2,49520.0,3128
Metal Gear Solid V: The Phantom Pain,287700.0,3137
Dishonored 2,403640.0,3158
Far Cry 4,298110.0,3187
XCOM: Enemy Unknown,200510.0,3221
Half-Life 2,220.0,3299
Borderlands: The Pre-Sequel,261640.0,3302
Half-Life,70.0,3347
Total War: Shogun 2,201270.0,3372
Metal Gear Solid V: Ground Zeroes,311340.0,3417
Call of Duty: Black Ops,42700.0,3440
Alice: Madness Returns,19680.0,3453
Payday 2,218620.0,3496
XCOM: Enemy Unknown,200510.0,3500
Titanfall 2,1237970.0,3509
Defiance,224600.0,3528
Resident Evil 2,883710.0,3586
Quantum Break,474960.0,3607
Middle-Earth: Shadow of Mordor,241930.0,3610
Spec Ops: The Line,50300.0,3683
LEGO Marvel Super Heroes,249130.0,3877
DC Universe Online,24200.0,3895
Alien: Isolation,214490.0,3910
Dishonored,205100.0,3920
Bully: Scholarship Edition,12200.0,3944
Hitman: Blood Money,6860.0,3955
Alice: Madness Returns,19680.0,4006
Middle-Earth: Shadow of Mordor,241930.0,4050
Medal of Honor,47830.0,4056
Far Cry 2,19900.0,4078
Metal Gear Rising: Revengeance,235460.0,4110
The Evil Within,268050.0,4235
Need for Speed: Hot Pursuit,47870.0,4248
Command & Conquer: Red Alert 3,17480.0,4313
Red Faction: Armageddon,55110.0,4325
Wolfenstein: The New Order,201810.0,4365
Wolfenstein: The New Order,201810.0,4392
DmC: Devil May Cry,220440.0,4436
Sleeping Dogs,202170.0,4483
Payday 2,218620.0,4506
Max Payne 3,204100.0,4527
Spec Ops: The Line,50300.0,4635
Farming Simulator 17,447020.0,4677
Terraria,105600.0,4686
Call of Duty: Black Ops II,202970.0,4707
BioShock,7670.0,4711
Dishonored,205100.0,4887
Dark Souls III,374320.0,4888
The Darkness II,67370.0,4933
Hitman: Blood Money,6860.0,4936
Red Faction: Armageddon,55110.0,4956
Wolfenstein: The New Order,201810.0,4996
Battlefield 1,1238840.0,5001
Risk: Global Domination,1128810.0,5008
Deus Ex: Mankind Divided,337000.0,5009
Saints Row: The Third,55230.0,5019
LEGO Marvel Super Heroes,249130.0,5055
Need for Speed: Hot Pursuit,47870.0,5092
Rocket League,252950.0,5121
DiRT Rally,310560.0,5132
Sid Meier's Civilization: Beyond Earth,65980.0,5166
Left 4 Dead 2,550.0,5171
Middle-Earth: Shadow of Mordor,241930.0,5258
Defiance,224600.0,5306
Sniper Elite 3,238090.0,5322
Tropico 4,57690.0,5327
Call of Duty: Ghosts,209160.0,5349
Supreme Commander 2,40100.0,5373
Company of Heroes 2,231430.0,5380
Sniper: Ghost Warrior 2,34870.0,5474
Alien: Isolation,214490.0,5529
Dead Space 2,47780.0,5568
Prey,480490.0,5641
The Darkness II,67370.0,5650
Rise of the Tomb Raider,391220.0,5673
Batman: Arkham Origins,209000.0,5704
Batman: Arkham Origins,209000.0,5731
Tropico 5,245620.0,5747
DmC: Devil May Cry,220440.0,5817
Kingdoms of Amalur: Reckoning,102500.0,5839
Naruto Shippuden: Ultimate Ninja Storm 4,349040.0,5850
Sniper Elite 3,238090.0,5862
Borderlands: The Pre-Sequel,261640.0,6024
Metal Gear Solid V: Ground Zeroes,311340.0,6050
World of Tanks,1407200.0,6079
Payday 2,218620.0,6174
Alien: Isolation,214490.0,6184
Sniper Elite 3,238090.0,6193
The Evil Within,268050.0,6277
Tropico 4,57690.0,6381
The Bureau: XCOM Declassified,65930.0,6692
The Walking Dead: Season Two,261030.0,6756
F1 2015,286570.0,6760
Hitman: Absolution,203140.0,6770
Homefront,55100.0,6812
BioShock 2,8850.0,6820
Total War: Attila,325610.0,6830
Rocket League,252950.0,6893
DC Universe Online,24200.0,6941
XCOM 2,268500.0,6997
Mafia,40990.0,7027
Spec Ops: The Line,50300.0,7106
Dishonored 2,403640.0,7235
The Bureau: XCOM Declassified,65930.0,7340
Assassin's Creed Syndicate,368500.0,7385
Defiance,224600.0,7468
Sniper: Ghost Warrior 2,34870.0,7520
EVE Online,8500.0,7521
Zombie Army Trilogy,301640.0,7541
Sleeping Dogs,202170.0,7634
Dying Light,239140.0,7641
Supreme Commander 2,40100.0,7808
Quake,2310.0,7832
South Park: The Stick of Truth,213670.0,7840
The Walking Dead: Season Two,261030.0,7890
Metal Gear Solid V: The Phantom Pain,287700.0,8032
Call of Duty: World at War,10090.0,8039
Brink,22350.0,8131
Payday 2,218620.0,8142
Deus Ex: Mankind Divided,337000.0,8341
LEGO Marvel Super Heroes,249130.0,8371
Resident Evil,304240.0,8450
Phantasy Star Online 2,1056640.0,8468
Darksiders,50620.0,8841
Dishonored,205100.0,8882
Terraria,105600.0,8993
Alien: Isolation,214490.0,9037
Just Cause 3,225540.0,9039
Doom,379720.0,9072
Hitman: Blood Money,6860.0,9082
Metal Gear Solid V: Ground Zeroes,311340.0,9088
XCOM 2,268500.0,9119
Cities: Skylines,255710.0,9137
The Walking Dead: Season Two,261030.0,9158
